title,company,location,salary,job_url,description
"Senior Expert, Data Scientist Financial Model",NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Hà Nội,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/senior-expert-data-scientist-financial-model.35C42964.html,"Mô tả Công việc
        I. Responsibility:

- Model Development - Design and implement ML/deep learning models using open-source frameworks (e.g. DeepSeek, Llama), optimizing for performance and scalability.

- Data Analysis: Extract insights from large datasets to inform business strategies and product development.

- Research : Stay updated on AI trends (e.g., NLP, computer vision) and apply cutting-edge techniques, DeepSeek’s latest advancements.

- Training & mentorship : Conduct internal workshop/training to upskill Finance in adoption of machine learning, data science and generative AI

- Data Management: Managing, designing, and maintaining complex data management scenarios in the capacity of Data Architect/Data scientist

- Partner with engineering and product teams to integrate models into production systems.

- Maintain clear records of methodologies and present findings to stakeholders."
Data Scientist Expert - Hà Nội - TA139,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/data-scientist-expert-ha-noi-ta139.35C4CDEA.html,"Mô tả Công việc
        VPBank hiện là một trong những Ngân hàng có tốc độ tăng trưởng nhanh nhất tại Việt Nam, cung cấp đa dạng các dịch vụ và được nhiều khách hàng tin dùng. VPBank đặc biệt chú ý đến việc nâng cao hiệu quả hoạt động qua việc phân tích các dữ liệu kinh doanh.

Chúng tôi đang tìm kiếm Chuyên gia Khoa học dữ liệu (Data Scientist Expert) có khả năng:


	Chịu trách nhiệm chính trong việc triển khai, tham mưu cho Giám đốc Trung tâm và/hoặc Trưởng phòng trong việc lập kế hoạch và phối hợp với đơn vị kinh doanh, đơn vị hỗ trợ kinh doanh và các trung tâm/phòng ban khác trong nội bộ khối EDA.
	Dẫn dắt và chịu trách nhiệm chính việc ứng dụng các phương pháp phân tích nâng cao, học máy, học sâu và/hoặc GenAI để xây dựng ứng dụng AI/phân tích hệ thống dữ liệu phức tạp, tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng và đưa ra các khuyến nghị chiến lược có giá trị cho đơn vị.
	Đóng vai trò cố vấn chuyên môn, hướng dẫn phát triển năng lực kỹ thuật trong nhóm


Trách nhiệm chính:

1. Lập kế hoạch và phối hợp triển khai sáng kiến phân tích nâng cao, AI/ML/GenAI

- Tham mưu cho Trưởng phòng trong việc xây dựng kế hoạch triển khai các sáng kiến phân tích nâng cao, học máy, học sâu và/hoặc GenAI phù hợp với định hướng chiến lược.

- Chủ động phối hợp với các đơn vị kinh doanh, hỗ trợ kinh doanh và các phòng/ban liên quan trong nội bộ Khối EDA để xác định bài toán, thống nhất yêu cầu, thiết kế giải pháp và phương án triển khai.

2. Chủ động triển khai các giải pháp khoa học dữ liệu và trí tuệ nhân tạo cho các đơn vị trong ngân hàng

- Dẫn dắt định hướng kỹ thuật và chịu trách nhiệm chính các giải pháp phân tích nâng cao, AI/ML/GenAI cho các bài toán chiến lược hoặc có độ phức tạp cao, có khả năng tạo ra tác động lớn đến hoạt động kinh doanh, vận hành hoặc trải nghiệm khách hàng toàn hàng.

- Thiết kế và giám sát triển khai các sản phẩm dữ liệu hoặc mô hình AI/ML/GenAI có khả năng tái sử dụng và mở rộng quy mô, đóng vai trò then chốt trong các sáng kiến quan trọng nhắm thúc đẩy kinh doanh, tối ưu hóa kênh tiếp cận, tự động hóa vận hành, ra quyết định thông minh và cá nhân hóa hành trình khách hàng.

- Tư vấn kỹ thuật cho các phòng ban nghiệp vụ, giúp định hình bài toán kinh doanh thành các giải pháp phân tích cụ thể và khả thi; đồng thời đảm bảo việc lựa chọn thuật toán, kiến trúc mô hình, pipeline dữ liệu và các công nghệ nền tảng là phù hợp và tối ưu.

- Thực hiện hoặc giám sát phân tích khám phá dữ liệu chuyên sâu và khai thác insight chiến lược, giúp Ban điều hành, các khối kinh doanh/vận hành thấu hiểu khách hàng, xác định cơ hội tăng trưởng, hoặc phát hiện rủi ro tiềm ẩn.

- Tham gia đánh giá và giám sát chất lượng toàn bộ vòng đời mô hình, bao gồm việc thiết kế hệ thống giám sát mô hình (model monitoring), đánh giá drift, lên kế hoạch re-training và kiểm soát rủi ro mô hình (model risk).

- Đóng vai trò cố vấn chuyên môn (technical mentor) cho các chuyên viên trong nhóm/phòng/bộ phận khác, hỗ trợ phát triển năng lực nội bộ, lan tỏa thực hành tốt và xây dựng năng lực AI/ML/GenAI bền vững cho tổ chức.

- Chủ động cập nhật, thử nghiệm và lan tỏa các công nghệ, phương pháp mới trong lĩnh vực AI/ML/GenAI (như foundation models, vector database, agentic workflows…), góp phần giúp ngân hàng bắt kịp và đón đầu xu hướng công nghệ.

3. Nghiên cứu & cập nhật kỹ thuật, công nghệ mới

- Thường xuyên nghiên cứu, cập nhật các xu hướng, kỹ thuật tiên tiến trong lĩnh vực phân tích dữ liệu, học máy, học sâu và/hoặc GenAI theo định hướng từ cấp quản lý hoặc chuyên gia nội bộ.

- Chủ động tìm hiểu và dẫn dắt, thử nghiệm các công nghệ, framework và mô hình mới để nâng cao hiệu quả triển khai giải pháp dữ liệu và AI tại ngân hàng.

- Tích cực tham gia các diễn đàn chuyên môn, hội thảo nội bộ/ngoại bộ, seminar nhằm mở rộng kiến thức và chia sẻ kinh nghiệm thực tiễn với đội nhóm.

- Tham gia hỗ trợ đào tạo, hướng dẫn cho các thành viên cấp thấp hơn trong nhóm khi được phân công.

- Chủ động chia sẻ, huấn luyện hoặc xây dựng tài liệu nội bộ nhằm lan tỏa kiến thức và thúc đẩy đổi mới sáng tạo.

4. Thưc hiện các công việc khác theo phân công của cấp thẩm quyền"
Senior LLMs & GenAI-Agent Engineer - Hà Nội - TA139,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/senior-llms-genai-agent-engineer-ha-noi-ta139.35C50464.html,"Mô tả Công việc
        About VPBank - AI Center

VPBank is at the forefront of innovation in banking and financial sector, leveraging cutting-edge technologies to transform our internal operations, banking, and financial products, and to deliver exceptional values to our customers. AI Center of VPBank, led by Dr. Dao Huu Hung, is building a dedicated team to develop and deploy large-scale Generative AI (GenAI) Agent-based internal banking and financial products, providing unique opportunity to work on projects that are both challenging and impactful. We offer unparalleled access to real-world and large-scale data and the chance to build solutions that directly influence the core banking and financial processes.

We are seeking highly skilled and passionate LLMs & GenAI Agent Engineers to join our dynamic team. You will be responsible for designing, developing and deploying advanced GenAI Agents with a specific focus on multi-agent systems to automate and optimize the workflows. This role demands deep expertise in LLMs, agent orchestration, and cloud-based deployment, particularly on Databricks and AWS Bedrock. You will play a pivotal role in building intelligent, autonomous systems that streamline, automate and optimize workflows, and drive innovation in VPBank.

Key Responsibilities


	Designing, implementing and optimizing multi-agent systems using LLMs and GenAI technologies
	Integrating and finetuning LLMs with data sources using RAG, Deep Search, and Deep Think techniques.
	Data integration and management: work with large-scale and dynamic banking and financial datalake house, ensuring seamless integration and efficient data processing within agent workflows.
	Cloud deployment and scalability: deploy and manage GenAI agent systems on cloud platforms, primarily DataBricks, ensuring scalability, reliability, and security.
	Agent orchestration and tool usage: develop and implement robust agent orchestration frameworks, enabling agents to effectively utilize various tools and APIs.
	Prompt engineering and optimization: Craft and optimize prompts to maximize the performance and accuracy of LLMs and agents.
	Evaluation and Monitoring: design and implement metrics for evaluating agent performance, continuously monitor and optimize deployed systems.
	Collaboration and knowledge sharing: collaborate with cross-functional teams, including data scientists, software engineers, IT system engineers, and business stakeholders, and contribute to knowledge sharing and best practices.
	Research and innovation: stay up-to-date with latest advancements in LLMs and GenAI, and contribute to research and innovation initiatives.
	Collaborating with teams and upholding AI ethics, privacy, and security, especially for financial compliance."
Machine Learning Engineer - Hà Nội - TA139,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/machine-learning-engineer-ha-noi-ta139.35C493A6.html,"Mô tả Công việc
        VPBank is currently one of the fastest growing banks in Vietnam, providing a wide range of services and trusted by many customers. VPBank pays special attention to improving operational efficiency through data-driven activities.

The job holder is responsible for applying machine learning engineering approaches and best practices to package data analytic models for deployment, in the form of software applications or APIs to be used by consumers to run the models.

Key accountabilities:


	Partner data scientists in applying data science and engineering techniques in packaging data analytic models for assessing customers’ behaviors and enhancing operational efficiency.
	Proactively execute and lead data science and machine learning projects to drive business outcomes.
	Develop front-end user interfaces, interactive visualizations and dashboards to deliver insights for consumers.
	Leverage on premise and cloud based big data platforms to refactor and optimize code for production.
	Develop machine learning models to help business units in various problems including customer churn and cross-selling products to customers
	Automate data and machine learning engineering processes
	Conduct research on modern methods for machine learning and engineering.
	Working with other centers/departments in EDA as well as Business Units to understand business problems so as to support them in better utilizing machine learning
	Training other EDA team members on machine learning"
Full-stack Software Engineer - Khối Dữ liệu (HO25.296),Ngân Hàng TMCP Quân Đội,Hà Nội,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/full-stack-software-engineer-khoi-du-lieu-ho25-296.35C4F1C4.html,"Mô tả Công việc
        
	Phát triển và triển khai các ứng dụng Web phục vụ các sản phẩm dữ liệu lớn (Big Data) của ngân hàng.
	Xây dựng API và tích hợp hệ thống phục vụ dữ liệu và mô hình với hiệu năng cao.
	Phối hợp với các đơn vị nghiệp vụ (Business Units), nhà phân tích nghiệp vụ (BA), kỹ sư dữ liệu (Data Engineer) và nhà khoa học dữ liệu (Data Scientist) để xác định yêu cầu, thiết kế, triển khai và kiểm thử sản phẩm."
[HCM] Senior Data Engineer,Ahamove,Hồ Chí Minh,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/hcm-senior-data-engineer.35C4E109.html,"Mô tả Công việc
        Build, maintain and optimize in-house data infrastructure including database, data warehouse, orchestration system, data streaming and batching pipelines.Work with multiple Cloud Platforms such as GCP, AWS, Databricks.Work with big and complex datasets for multiple departments.Create a benchmark, alert, and audit log for the data system.Communicate with stakeholders including Product, Software Engineers, Business Users, Data Analysts and Data Scientists to solve data-related requests."
Senior Data Engineering Manager (AI/ML & Data Science),Công Ty CP Dược Phẩm Pharmacity,Hồ Chí Minh,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/senior-data-engineering-manager-ai-ml-data-science.35C50C8E.html,"Mô tả Công việc
        About Pharmacity:Pharmacity is Vietnam's leading pharmaceutical retail chain, committed to providing accessible and high-quality healthcare services to communities nationwide. We are strategically investing in advanced Artificial Intelligence, Machine Learning, and Data Science to power our ambition of becoming the undisputed leader in the omni-channel pharmacy and healthcare platform space, surpassing competitors. We are building a data-driven culture that leverages cutting-edge technology to deliver personalized experiences, optimize operations, and unlock new growth opportunities. We are seeking an exceptional AI/ML & Data Science Manager to lead critical initiatives in this transformation.Position Summary:The AI/ML & Data Science Manager will lead a team of data scientists and machine learning engineers, responsible for developing and deploying advanced analytical models and AI solutions that drive significant business impact across Pharmacity's omni-channel platform. This role will specifically focus on solving complex problems related to demand forecasting, enabling Agentic AI capabilities, enhancing personalization for customers, and optimizing healthcare platform upsell and cross-sell strategies. This leader will combine deep technical expertise with strong business acumen and excellent leadership skills to turn data into actionable insights and intelligent products.Key Responsibilities:Strategy & Roadmap:Define and execute the AI/ML and Data Science strategy for key business areas, including:Demand Forecasting: Develop and implement advanced predictive models to optimize inventory, reduce stockouts, and minimize waste across our vast product catalog (pharmaceuticals, health & beauty, FMCG), accounting for seasonality, promotions, external factors, and unique pharma challenges (e.g., product shelf-life, regulatory changes, varying demand for specific medications).Agentic AI: Explore, prototype, and build intelligent agents that can proactively assist customers (e.g., virtual health assistants, intelligent navigators for health information), automate operational tasks, and provide real-time decision support for pharmacists and healthcare professionals on the platform.Personalization: Drive the development of sophisticated recommendation engines, personalized content delivery, and tailored customer journeys across all touchpoints (web, mobile app, in-store, CRM), leveraging diverse customer data.Healthcare Platform Upsell & Cross-Sell: Design and deploy AI-driven models to identify optimal upsell (e.g., higher-tier health packages, premium products) and cross-sell opportunities (e.g., complementary products for chronic conditions, related health services) within the healthcare platform, enhancing customer value and revenue.Translate complex business challenges into data science problems, identifying appropriate methodologies and data requirements.Build and maintain a prioritized AI/ML roadmap, aligning with product, engineering, and business stakeholders.Model Development & Deployment:Lead the end-to-end lifecycle of AI/ML models, from data exploration, feature engineering, model selection, training, evaluation, to deployment, monitoring, and retraining in production environments.Ensure models are robust, explainable, ethical, and perform at scale.Oversee the integration of AI/ML models into various systems (e.g., e-commerce platform, CRM, inventory management, patient engagement tools).Champion MLOps best practices, including version control, automated testing, CI/CD for models, and performance monitoring.Team Leadership & Development:Build, mentor, and grow a high-performing team of data scientists and machine learning engineers.Foster a culture of innovation, experimentation, continuous learning, and rigorous scientific inquiry.Provide technical guidance, architectural oversight, and hands-on support as needed.Conduct performance evaluations, set clear goals, and support career development for team members.Data & Infrastructure Collaboration:Collaborate closely with Data Engineering teams to ensure the availability of clean, reliable, and well-structured data for model training and inference.Work with the Engineering Director to define the necessary infrastructure for AI/ML development and deployment (e.g., computing resources, data lakes, feature stores).Partner with the CRM & CDP team to leverage customer data for personalization and engagement initiatives.Stakeholder Communication:Communicate complex analytical findings and AI capabilities to non-technical stakeholders in a clear, concise, and actionable manner.Collaborate with Product Managers to define user stories and ensure AI solutions meet business needs and deliver measurable value.Present key insights, model performance, and ROI of AI/ML initiatives to senior leadership."
LLMs & GenAI-Agent Expert - Hà Nội - TA139,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/llms-genai-agent-expert-ha-noi-ta139.35C42DEC.html,"Mô tả Công việc
        About VPBank - AI Center

VPBank is at the forefront of innovation in banking and financial sector, leveraging cutting-edge technologies to transform our internal operations, banking, and financial products, and to deliver exceptional values to our customers. AI Center of VPBank, led by Dr. Dao Huu Hung, is building a dedicated team to develop and deploy large-scale Generative AI (GenAI) Agent-based internal banking and financial products, providing unique opportunity to work on projects that are both challenging and impactful. We offer unparalleled access to real-world and large-scale data and the chance to build solutions that directly influence the core banking and financial processes.

We are seeking highly skilled and passionate LLMs & GenAI Agent Engineers to join our dynamic team. You will be responsible for designing, developing and deploying advanced GenAI Agents with a specific focus on multi-agent systems to automate and optimize the workflows. This role demands deep expertise in LLMs, agent orchestration, and cloud-based deployment, particularly on Databricks and AWS Bedrock. You will play a pivotal role in building intelligent, autonomous systems that streamline, automate and optimize workflows, and drive innovation in VPBank.

Key Responsibilities


	Designing, implementing and optimizing multi-agent systems using LLMs and GenAI technologies
	Integrating and finetuning LLMs with data sources using RAG, Deep Search, and Deep Think techniques.
	Data integration and management: work with large-scale and dynamic banking and financial datalake house, ensuring seamless integration and efficient data processing within agent workflows.
	Cloud deployment and scalability: deploy and manage GenAI agent systems on cloud platforms, primarily DataBricks, ensuring scalability, reliability, and security.
	Agent orchestration and tool usage: develop and implement robust agent orchestration frameworks, enabling agents to effectively utilize various tools and APIs.
	Prompt engineering and optimization: Craft and optimize prompts to maximize the performance and accuracy of LLMs and agents.
	Evaluation and Monitoring: design and implement metrics for evaluating agent performance, continuously monitor and optimize deployed systems.
	Collaboration and knowledge sharing: collaborate with cross-functional teams, including data scientists, software engineers, IT system engineers, and business stakeholders, and contribute to knowledge sharing and best practices.
	Research and innovation: stay up-to-date with latest advancements in LLMs and GenAI, and contribute to research and innovation initiatives.
	Collaborating with teams and upholding AI ethics, privacy, and security, especially for financial compliance."
Data Scientist (Senior/Expert) - Hà Nội - TA139,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/data-scientist-senior-expert-ha-noi-ta139.35C485EF.html,"Mô tả Công việc
        VPBank hiện là một trong những Ngân hàng có tốc độ tăng trưởng nhanh nhất tại Việt Nam, cung cấp đa dạng các dịch vụ và được nhiều khách hàng tin dùng. VPBank đặc biệt chú ý đến việc nâng cao hiệu quả hoạt động qua việc phân tích các dữ liệu kinh doanh.

Mục đích của vị trí:


	Chịu trách nhiệm chính trong việc triển khai, tham mưu cho Giám đốc Trung tâm và/hoặc Trưởng phòng trong việc lập kế hoạch và phối hợp với đơn vị kinh doanh, đơn vị hỗ trợ kinh doanh và các trung tâm/phòng ban khác trong nội bộ khối EDA.
	Dẫn dắt và chịu trách nhiệm chính việc ứng dụng các phương pháp phân tích nâng cao, học máy, học sâu và/hoặc GenAI để xây dựng ứng dụng AI/phân tích hệ thống dữ liệu phức tạp, tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng và đưa ra các khuyến nghị chiến lược có giá trị cho đơn vị.
	Đóng vai trò cố vấn chuyên môn, hướng dẫn phát triển năng lực kỹ thuật trong nhóm


Nhiệm vụ chính: 

1. Lập kế hoạch và phối hợp triển khai sáng kiến phân tích nâng cao, AI/ML/GenAI

- Tham mưu cho Trưởng phòng trong việc xây dựng kế hoạch triển khai các sáng kiến phân tích nâng cao, học máy, học sâu và/hoặc GenAI phù hợp với định hướng chiến lược.

- Chủ động phối hợp với các đơn vị kinh doanh, hỗ trợ kinh doanh và các phòng/ban liên quan trong nội bộ Khối EDA để xác định bài toán, thống nhất yêu cầu, thiết kế giải pháp và phương án triển khai.



2. Chủ động triển khai các giải pháp khoa học dữ liệu và trí tuệ nhân tạo cho các đơn vị trong ngân hàng

- Dẫn dắt định hướng kỹ thuật và chịu trách nhiệm chính các giải pháp phân tích nâng cao, AI/ML/GenAI cho các bài toán chiến lược hoặc có độ phức tạp cao, có khả năng tạo ra tác động lớn đến hoạt động kinh doanh, vận hành hoặc trải nghiệm khách hàng toàn hàng.

- Thiết kế và giám sát triển khai các sản phẩm dữ liệu hoặc mô hình AI/ML/GenAI có khả năng tái sử dụng và mở rộng quy mô, đóng vai trò then chốt trong các sáng kiến quan trọng nhắm thúc đẩy kinh doanh, tối ưu hóa kênh tiếp cận, tự động hóa vận hành, ra quyết định thông minh và cá nhân hóa hành trình khách hàng.

- Tư vấn kỹ thuật cho các phòng ban nghiệp vụ, giúp định hình bài toán kinh doanh thành các giải pháp phân tích cụ thể và khả thi; đồng thời đảm bảo việc lựa chọn thuật toán, kiến trúc mô hình, pipeline dữ liệu và các công nghệ nền tảng là phù hợp và tối ưu.

- Thực hiện hoặc giám sát phân tích khám phá dữ liệu chuyên sâu và khai thác insight chiến lược, giúp Ban điều hành, các khối kinh doanh/vận hành thấu hiểu khách hàng, xác định cơ hội tăng trưởng, hoặc phát hiện rủi ro tiềm ẩn.

- Tham gia đánh giá và giám sát chất lượng toàn bộ vòng đời mô hình, bao gồm việc thiết kế hệ thống giám sát mô hình (model monitoring), đánh giá drift, lên kế hoạch re-training và kiểm soát rủi ro mô hình (model risk).

- Đóng vai trò cố vấn chuyên môn (technical mentor) cho các chuyên viên trong nhóm/phòng/bộ phận khác, hỗ trợ phát triển năng lực nội bộ, lan tỏa thực hành tốt và xây dựng năng lực AI/ML/GenAI bền vững cho tổ chức.

- Chủ động cập nhật, thử nghiệm và lan tỏa các công nghệ, phương pháp mới trong lĩnh vực AI/ML/GenAI (như foundation models, vector database, agentic workflows…), góp phần giúp ngân hàng bắt kịp và đón đầu xu hướng công nghệ.

2. Nghiên cứu & cập nhật kỹ thuật, công nghệ mới

- Thường xuyên nghiên cứu, cập nhật các xu hướng, kỹ thuật tiên tiến trong lĩnh vực phân tích dữ liệu, học máy, học sâu và/hoặc GenAI theo định hướng từ cấp quản lý hoặc chuyên gia nội bộ.

- Chủ động tìm hiểu và dẫn dắt, thử nghiệm các công nghệ, framework và mô hình mới để nâng cao hiệu quả triển khai giải pháp dữ liệu và AI tại ngân hàng.

- Tích cực tham gia các diễn đàn chuyên môn, hội thảo nội bộ/ngoại bộ, seminar nhằm mở rộng kiến thức và chia sẻ kinh nghiệm thực tiễn với đội nhóm.

- Tham gia hỗ trợ đào tạo, hướng dẫn cho các thành viên cấp thấp hơn trong nhóm khi được phân công.

- Chủ động chia sẻ, huấn luyện hoặc xây dựng tài liệu nội bộ nhằm lan tỏa kiến thức và thúc đẩy đổi mới sáng tạo.

3. Thưc hiện các công việc khác theo phân công của cấp thẩm quyền"
Chuyên viên Mô hình và Phân tích nâng cao - Data Scientist - Modeling and Advanced Analytics - Khối Dữ liệu (HOLT.07),Ngân Hàng TMCP Quân Đội,Hà Nội,Cạnh tranh,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-mo-hinh-va-phan-tich-nang-cao-data-scientist-modeling-and-advanced-analytics-khoi-du-lieu-holt-07.35C50992.html,"Mô tả Công việc
        
	Phát triển các mô hình tín dụng (Mô hình điểm tín dụng, mô hình phân bổ hạn mức, Cảnh báo sớm…) và các mô hình, phân tích hỗ trợ quyết định khác
	Xây dựng các mô hình kinh doanh (Mô hình dự đoán khả năng mua hàng, mô hình dự báo khách hàng rời bỏ và mô hình bán chéo/tăng doanh số…) nhằm hỗ trợ chiến lược thu hút và giữ chân khách hàng
	Làm việc với các bộ dữ liệu lớn để khai thác thông tin và chuẩn bị dữ liệu sạch, có cấu trúc cho việc xây dựng mô hình
	Hợp tác với các thành viên trong nhóm để áp dụng các kỹ thuật máy học và các thực hành tốt nhất
	Đóng góp vào các dự án nghiên cứu sáng tạo, hợp tác với một trong những trường đại học hàng đầu thế giới nhằm khám phá các kỹ thuật mô hình mới."
